time, x, y, heading, heading_to_target, heading_pid, target_x, target_y
Position: [35.518, 148.666], Heading: -179.9932, Look Ahead: 100, Finish Margin: 10
2369, 35.518, 148.666, -179.9932, -126.1527, 0.5384057, -23.47588, 67.9212
2384, 35.518, 148.666, -179.9932, -126.1527, 0.5384057, -23.47588, 67.9212
2393, 36.6153, 148.666, -179.9927, -126.8622, 0.5313053, -23.37399, 68.65798
2410, 43.47342, 148.6588, -180.0533, -130.4893, 0.4956399, -23.093, 70.69
2426, 46.21667, 148.6574, -180.0825, -131.6357, 0.4844675, -23.093, 70.69
2443, 53.34913, 148.657, -180.0856, -134.4342, 0.4565143, -23.093, 70.69
2460, 56.3667, 148.6603, -180.0232, -135.542, 0.4448111, -23.093, 70.69
2476, 64.04774, 148.6911, -179.793, -138.1678, 0.4162526, -23.093, 70.69
2493, 72.55168, 148.7381, -179.4762, -140.7848, 0.386914, -23.093, 70.69
2510, 77.21519, 148.7523, -179.3016, -142.109, 0.3719261, -23.093, 70.69
2526, 87.63923, 148.8339, -178.8536, -144.7893, 0.3406429, -23.093, 70.69
2543, 92.57704, 148.8535, -178.6259, -145.9513, 0.3267461, -23.093, 70.69
2560, 105.1956, 148.951, -178.1832, -148.6152, 0.2956799, -23.093, 70.69
2576, 110.6821, 148.9728, -177.9552, -149.6646, 0.2829066, -23.093, 70.69
2593, 125.7688, 149.1585, -177.2502, -152.2052, 0.2504494, -23.093, 70.69
2610, 132.0782, 149.1844, -177.0145, -153.1671, 0.2384743, -23.093, 70.69
2626, 144.9711, 149.2824, -176.5792, -154.9376, 0.2164157, -23.093, 70.69
2643, 157.8641, 149.3747, -176.1688, -156.4993, 0.1966945, -23.093, 70.69
2660, 164.9965, 149.4006, -175.9614, -157.2919, 0.1866949, -23.093, 70.69
2676, 178.7124, 149.4939, -175.5717, -158.6696, 0.1690204, -23.093, 70.69
2693, 192.7027, 149.5852, -175.1978, -159.9175, 0.1528026, -23.093, 70.69
2710, 199.8351, 149.608, -174.8423, -160.5057, 0.1433664, -23.093, 70.69
2726, 214.0997, 149.6954, -174.6632, -161.5778, 0.1308539, -23.093, 70.69
2743, 228.6387, 149.7814, -174.3245, -162.5578, 0.1176671, -23.093, 70.69
2760, 236.0454, 149.8045, -174.1458, -163.0227, 0.1112317, -23.093, 70.69
2776, 250.3101, 149.8838, -173.8272, -163.8458, 0.09981385, -23.093, 70.69
2793, 264.8492, 149.953, -173.5543, -164.6091, 0.08945221, -23.093, 70.69
2810, 272.2559, 149.9694, -173.4275, -164.9745, 0.08452972, -23.093, 70.69
2826, 286.7951, 150.0287, -173.1937, -165.6394, 0.07554352, -23.093, 70.69
2843, 302.1572, 150.0852, -172.9832, -166.2821, 0.06701141, -23.093, 70.69
2860, 309.8382, 150.0976, -172.8904, -166.585, 0.06305405, -23.093, 70.69
2876, 324.9261, 150.1385, -172.7353, -167.1404, 0.05594818, -23.093, 70.69
2893, 340.5625, 150.1814, -172.5781, -167.6697, 0.04908401, -23.093, 70.69
2910, 348.2436, 150.1918, -172.5006, -167.9156, 0.04584946, -23.093, 70.69
2926, 364.1544, 150.236, -172.3412, -168.3921, 0.03949143, -23.093, 70.69
